label,precision,recall,f1
0,0.5402097902097902,0.40927152317880794,0.46571213262999245
1,0.6812080536912751,0.8218623481781376,0.7449541284403669
2,0.45901639344262296,0.28426395939086296,0.3510971786833856
3,0.4276315789473684,0.1867816091954023,0.26
4,0.6666666666666666,0.029411764705882353,0.056338028169014086
5,0.0,0.0,0.0
6,0.8699690402476781,0.878125,0.8740279937791602
7,0.6190476190476191,0.3699186991869919,0.46310432569974563
8,0.7038461538461539,0.7887931034482759,0.7439024390243903
9,0.6804733727810651,0.3549382716049383,0.46653144016227177
10,0.5405405405405406,0.7142857142857143,0.6153846153846154
11,0.5692307692307692,0.20786516853932585,0.3045267489711935
12,0.44954128440366975,0.3475177304964539,0.392
13,0.45579567779960706,0.8667496886674969,0.5974248927038626
